name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
Starling,Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness.,,,"Mainly evaluated on MT-Bench and AlpacaEval, which are GPT-4-based comparisons.",,,,CC BY NC 4.0,Academic research and free commercial usage,,,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha/discussions,unknown,unknown,unknown,,,,,,,2,123,228,3,62,186,302,2,3
Falcon-40B,"Falcon-40B is a 40B parameters causal decoder-only model built by TII and trained on 1,000B tokens of RefinedWeb enhanced with curated corpora.",,,"Evaluated in 1-shot against the PaLM models, with the tasks of the paper ""Language models are few-shot learners"" (Brown et al., 2020); (2) on a small set of few-shot tasks reported by the GPT-4 paper; (3) against state-of-the-art models across common sense, question answering, and code tasks; (4) against models which also report results from the EAI Harness, for which we are able to compare with identical prompts and metrics.",,,,Apache 2.0,Research on large language models; as a foundation for further specialization for specific use cases.,irresponsible or harmful use or production use without adequate assessment of risks and mitigation.,None,https://huggingface.co/tiiuae/falcon-40b/discussions,unknown,2 months,384 A100 40GB GPUs,,,,,,,2,173,173,4,62,133,229,2,3
RefinedWeb,RefinedWeb is a high-quality five trillion tokens web-only English pretraining dataset.,https://huggingface.co/datasets/tiiuae/falcon-refinedweb,[],,,,,custom,,,,,,,,,,,,,,1,173,168,4,37,160,302,2,4
Falcon-180B,"Falcon-180B is a 180B parameters causal decoder-only model built by TII and trained on 3,500B tokens of RefinedWeb enhanced with curated corpora.",,,"Falcon-180B outperforms LLaMA-2, StableLM, RedPajama, MPT on the Open LLM Leaderboard at https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard.",,,,unknown,Research on large language models; as a foundation for further specialization for specific use cases.,Production use without adequate assessment of risks and mitigation; any use cases which may be considered irresponsible or harmful.,None,https://huggingface.co/tiiuae/falcon-180b/discussions,,9 months,4096 A100 40GB GPUs,,,,,,,2,173,199,4,62,58,229,2,3
My AI for Snapchat,"My AI offers Snapchatters a friendly, customizable chatbot at their fingertips that offers recommendations, and can even write a haiku for friends in seconds. Snapchat, where communication and messaging is a daily behavior, has 750 million monthly Snapchatters.",,,,,,,custom,,,,,,,,,,https://snap.com/terms,,,,0,155,129,0,-1,-1,34,2,4
Brex Chat,"Brex Inc., a highly valued startup that makes software for finance professionals, is turning to the same artificial intelligence tool behind ChatGPT for a service that can answer questions about corporate budgets, policy and spending.",,,,,,,custom,,,,,,,,,,https://www.brex.com/legal/user-terms,,,,0,29,132,3,-1,-1,34,1,4
LAION-400M,"LAION-400M is a dataset with CLIP-filtered 400 million image-text pairs, their CLIP embeddings and kNN indices that allow efficient similarity search. This dataset is entirely openly, freely accessible.",https://laion.ai/blog/laion-400-open-dataset/,[],,,"Authors apply the following filtering conditions on the WAT files downloaded from Common Crawl: ""All samples with less than 5 character alt-text length or less than 5 KB image size are dropped. Duplicate removal is performed with bloom filter based on URL and alt-text. We use CLIP to compute embeddings of the image and alt-text. Then we compute the cosine similarity of both embeddings and drop all samples with cosine similarity below 0.3. This threshold was selected based on human inspections. We use the CLIP embeddings of images and texts to filter out illegal contents.""
","The authors use  CLIP embeddings of images and texts to filter out illegal contents. They also use CLIP to tag image-text pairs as NSFW. They note that less than 1% of images were detected as NSFW, which can be filtered out by an user with NSFW tag.",CC BY 4.0,"The authors recommend using the dataset ""for research purposes"" and warn that ""this large-scale dataset is non-curated. It was built for research purposes to enable testing model training on larger scale for broad researcher and other interested communities, and is not meant for any real-world production or application.""",No uses are explicitly prohibited by the license. Users are warned from using LAION-400M for any real-world production or application.,,,,,,,,,,,,1,87,30,0,19,132,23,2,4
LAION-5B,LAION is a dataset of 5 billion image-text pairs from the Internet,https://laion.ai/blog/laion-5b/,[],,,"All samples with less than 5 characters alt-text length or less than 5 KB image size are dropped. All images with the too big resolution, potentially DOS bombs, were dropped before attempting to process them. Duplicate removal is performed with a bloom filter based on URL. Future runs would include more variate deduplication rules, such as URL + language for the multilanguage dataset. We use CLIP respectively MCLIP to compute embeddings of the image and alt-text. Then we compute the cosine similarity of both embeddings and drop all samples with cosine similarity below 0.28 for the English language ( with CLIP B/32) and 0.26 for the multilingual dataset (MCLIP). These thresholds were selected based on human inspection of the test results. We use the CLIP embeddings of images and texts to filter out to the possible extent the illegal content.",,CC BY 4.0,"The authors recommend using the dataset ""for research purposes"" and ""do not recommend using it for creating ready-to-go industrial products, as the basic research about general properties and safety of such large-scale models, which we would like to encourage with this release, is still in progress""",No uses are explicitly prohibited by the license. Users are warned from using LAION-5B for non-research purposes.,,,,,,,,,,,,1,87,106,0,19,155,28,2,4
LAION-2B-en,LAION-2B-en is a subset of the LAION-5B dataset and contains 2.3 billion English image-text pairs.,https://laion.ai/blog/laion-5b/,[],,,"All samples with less than 5 characters alt-text length or less than 5 KB image size are dropped. All images with the too big resolution, potentially DOS bombs, were dropped before attempting to process them. Duplicate removal is performed with a bloom filter based on URL. Future runs would include more variate deduplication rules, such as URL + language for the multilanguage dataset. We use CLIP respectively MCLIP to compute embeddings of the image and alt-text. Then we compute the cosine similarity of both embeddings and drop all samples with cosine similarity below 0.28 for the English language ( with CLIP B/32) and 0.26 for the multilingual dataset (MCLIP). These thresholds were selected based on human inspection of the test results. We use the CLIP embeddings of images and texts to filter out to the possible extent the illegal content.",,CC BY 4.0,"The authors recommend using the dataset ""for research purposes"" and ""do not recommend using it for creating ready-to-go industrial products, as the basic research about general properties and safety of such large-scale models, which we would like to encourage with this release, is still in progress""",No uses are explicitly prohibited by the license. Users are warned from using LAION-2B-en for non-research purposes.,,,,,,,,,,,,1,87,106,4,19,68,25,2,4
OpenFlamingo,"An open-source reproduction of DeepMind's Flamingo model. At its core, OpenFlamingo is a framework that enables training and evaluation of large multimodal models (LMMs).",,,Evaluated on COCO captioning and VQAv2 vision-language tasks.,,,,MIT,academic research purposes,commercial use,,,,,,,,,,,,2,87,143,0,28,196,141,2,1
SALMONN,"SALMONN is a large language model (LLM) enabling speech, audio event, and music inputs.",,,"Evaluated on benchmarks pertaining to speech, music, and other audio recognition.",,,,Apache 2.0,,,,https://huggingface.co/MSIIP/SALMONN/discussions,unknown,unknown,unknown,,,,,,,2,31,219,1,8,198,274,2,3
SDXL-Lightning,"SDXL-Lightning is a lightning-fast text-to-image generation model. It can generate high-quality 1024px images in a few steps. The models are distilled from stabilityai/stable-diffusion-xl-base-1.0. This repository contains checkpoints for 1-step, 2-step, 4-step, and 8-step distilled models.",,,Evaluated via qualitative comparison relative to other SoTA image generation models.,,,unknown,OpenRail++,"The model can be used for fast, high-quality text-to-image generation. It supports 1-step, 2-step, 4-step, and 8-step distilled models which provide varying generation quality.",unknown,unknown,https://huggingface.co/ByteDance/SDXL-Lightning/discussions,unknown,unknown,64 A100 80G GPUs,,,,,,,2,30,270,4,53,198,239,2,3
VLMo,VLMo is a model for text-to-image generation,,,,,,,,,,,,,,,,,,,,,2,98,34,3,53,152,54,0,4
T-ULRv5,T-ULRv5 is a language model trained with two unique training objectives,,,,,,,unknown,,,,,,Less than two weeks,256 A100,,,,,,,2,98,88,0,62,66,302,1,4
Turing NLR-v5,,,,,,,,unknown,,,,,,,,,,,,,,2,98,37,0,62,156,302,1,4
Megatron-Turing NLG,"Megatron-Turing NLG is a 530B parameter autoregressive language model.
",,,,,,,unknown,,,,,,,4480 A100s (560 x 8),,,,,,,2,99,46,3,62,147,255,1,4
VALL-E,Vall-E is a neural code model for text-to-speech synthesis,,,,,,,unknown,,,,,,,16 V100 32GB GPUs,,,,,,,2,98,111,1,48,198,302,0,4
GitHub CoPilot,"GitHub CoPilot is a coding pair programmer assisting programmers as they write code.
",,,,,,"GitHub is working on a filter to detect and suppress code generations that are verbatim from the training set [[GitHub Research Recitation]] (https://docs.github.com/en/github/copilot/research-recitation). According to the FAQ, GitHub implemented a simple filter that blocks emails in standard formats to protect personally identifiable data that may be present in the training data [[GitHub CoPilot]](https://copilot.github.com/).
",unknown,"GitHub CoPilot is intended to be used as a coding assistant.
","Access to GPT-3 is governed by GitHub Acceptable Use Policies and Terms of Service, both of which list a set of prohibited uses [[Use Policies]] (https://docs.github.com/en/site-policy/acceptable-use-policies/github-acceptable-use-policies) [[Terms of Service]] (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service).
","value: unknown explanation: >
  There may be internal monitoring mechanisms unknown to the public.
","Feedback can be provided in the CoPilot feedback project [[CoPilot feedback]] (https://github.com/github/feedback/discussions/categories/copilot-feedback).
",,,,unknown,Code completions,"https://docs.github.com/en/site-policy/github-terms/github-terms-of-service
","GitHub Copilot reportedly has over 1 million sign-ups [[Tweet Source]](https://twitter.com/sama/status/1539737789310259200?s=21&t=YPaYd0ZueJzrR6rLslUqzg).
",unknown,unknown,0,98,26,1,-1,-1,43,1,4
BioGPT,,,,,,,,MIT,,,,,,,,,,,,,,2,98,87,3,62,7,217,2,4
Bing Search,"AI-powered Bing search engine and Edge browser, available in preview now at Bing.com, to deliver better search, more complete answers, a new chat experience and the ability to generate content. We think of these tools as an AI copilot for the web.",,,,,,,custom,Search engine,,,"Feedback can be submitted at [bing.com](bing.com).
",,,,unknown,Search results,https://www.microsoft.com/legal/terms-of-use,,,,0,98,120,0,-1,-1,34,1,4
KOSMOS-1,"KOSMOS-1 is a multimodal language model that is capable of perceiving multimodal input, following instructions, and performing in-context learning for not only language tasks but also multimodal tasks.",,,,,,,MIT,,,,,,,,,,,,,,2,98,129,4,25,9,251,0,4
Prometheus,"In the context of Bing, we have developed a proprietary way of working with the OpenAI model that allows us to best leverage its power. We call this collection of capabilities and techniques the Prometheus model. This combination gives you more relevant, timely and targeted results, with improved safety.",,,,,,,unknown,,,,,,,,,,,,,,2,98,120,0,68,198,302,0,4
Florence,,,,,,,,unknown,,,,,,,,,,,,,,2,98,100,3,53,194,71,0,4
FLD-900M,,,[],,,,,unknown,,,,,,,,,,,,,,1,98,100,3,19,193,302,0,4
Azure Cognitive Services for Vision,"Cost-effective, production-ready computer vision services in Azure Cognitive Service for Vision. The improved Vision Services enables developers to create cutting-edge, market-ready, responsible computer vision applications across various industries.",,,,,,,custom,,,,,,,,,,https://azure.microsoft.com/en-us/support/legal/,,,,0,98,132,0,-1,-1,79,1,4
VisualChatGPT,,,,,,,,,,,,,,,,,,,,,,2,98,133,4,54,198,194,0,4
Microsoft 365 Copilot,It combines the power of language models with your data in the Microsoft Graph and the Microsoft 365 apps to turn your words into the most powerful productivity tool on the planet.,,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,139,0,-1,-1,91,1,4
Microsoft Business Chat,"Business Chat works across the langugae model, the Microsoft 365 apps, and your data — your calendar, emails, chats, documents, meetings and contacts — to do things you’ve never been able to do before. You can give it natural language prompts like “Tell my team how we updated the product strategy,” and it will generate a status update based on the morning’s meetings, emails and chat threads.",,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,139,0,-1,-1,170,1,4
Microsoft Excel,"Microsoft Excel is the industry leading spreadsheet software program, a powerful data visualization and analysis tool.",,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,170,2,4
Microsoft Outlook,"Microsoft Outlook is a personal information manager software system from Microsoft, available as a part of the Microsoft Office and Microsoft 365 software suites.",,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,170,2,4
Microsoft Power Platform,"Microsoft Power Platform is a line of business intelligence, app development, and app connectivity software applications.",,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,170,1,4
Microsoft PowerPoint,Microsoft PowerPoint empowers you to create clean slideshow presentations and intricate pitch decks and gives you a powerful presentation maker.,,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,170,2,4
Microsoft Teams,"Microsoft Teams is a proprietary business communication platform developed by Microsoft, as part of the Microsoft 365 family of products.",,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,169,2,4
Microsoft Word,Microsoft Word is a word processing software developed by Microsoft,,,,,,,custom,,,,,,,,,,https://www.microsoft.com/legal/terms-of-use,,,,0,98,-1,3,-1,-1,170,2,4
Microsoft Inside Look,"Inside look is a Microsoft Office feature, composing document insights highlighting key points, expected time to read, and popularity among others.
",,,,,,unknown,custom,Providing document insights to users.,unknown,unknown,unknown,,,,unknown,Document level insights for users.,https://www.microsoft.com/legal/terms-of-use,unknown,unknown,unknown,0,98,-1,3,-1,-1,302,1,4
Microsoft Suggested Replies,"Suggested replies is a Microsoft Outlook feature that suggests responses to emails, available in: English, Spanish, Italian, French, German, Portuguese Chinese Simplified, Chinese Traditional, Swedish, Russian, Korean, Czech, Hungarian, Arabic, Hebrew, Thai, Turkish, Japanese, Dutch, Norwegian, Danish, and Polish.
",,,,,,unknown,custom,Suggesting email replies.,unknown,unknown,unknown,,,,unknown,Suggested emails.,https://www.microsoft.com/legal/terms-of-use,unknown,unknown,unknown,0,98,-1,3,-1,-1,302,1,4
Microsoft Security Copilot,"Microsoft Security Copilot is an AI-powered security analysis tool that enables analysts to respond to threats quickly, process signals at machine speed, and assess risk exposure in minutes.
",,,,,,"Security Copilot employs a closed-loop learning system that learns from user interactions and feedback, enabling it to provide more coherent, relevant, and useful answers that continually improve over time. Security Copilot is committed to delivering safe, secure, and responsible AI solutions, ensuring that customers' data and AI models are protected with enterprise compliance and security controls. Customer data is owned and controlled by them, and not used to train AI models for anyone outside their organization.",custom,"Security Copilot is designed to enhance the capabilities of cybersecurity professionals. It leverages machine speed and scale to accelerate response to security incidents, discover and process threat signals, and assess risk exposure within minutes.",unknown,,unknown,,,,Security Copilot combines OpenAI's GPT-4 generative AI with a security-specific model from Microsoft. This security-specific model in turn incorporates a growing set of security-specific skills and is informed by Microsoft's unique global threat intelligence and more than 65 trillion daily signals.,"Actionable responses to security-related questions (text and image). Security event, incident or threat reports (PowerPoint slide).",https://www.microsoft.com/legal/terms-of-use,unknown,unknown,unknown,0,98,143,0,-1,-1,94,1,4
UniLM,UniLM is a unified language model that can be fine-tuned for both natural language understanding and generation tasks.,,,"Evaluated on GLUE, SQuAD 2.0, and CoQA benchmarks.",,,,MIT,,,,,unknown,"10,000 steps in 7 hours",8 NVIDIA Tesla V100 32GB GPUs,,,,,,,2,98,4,4,62,114,302,2,4
Docugami,Docugami is a LLM focused on writing business documents and data using generative AI.,,,,,,,,"analyzing, writing, and connecting business documents and data",,,,unknown,unknown,,,,,,,,2,98,20,3,62,78,302,1,4
BEiT-3,BEiT-3 is a general-purpose multimodal foundation model for vision and vision-language tasks.,,,"Evaluated on a range of standardized vision benchmarks, and achieves state of the art performance on all experimentally.",,,,,,,,,unknown,,,,,,,,,2,98,80,4,25,13,177,2,4
WizardLM,"Starting with an initial set of instructions, we use our proposed Evol-Instruct to rewrite them step by step into more complex instructions. Then, we mix all generated instruction data to fine-tune LLaMA. We call the resulting model WizardLM.",,,Reports results on standard LLM benchmarks in comparison to other LLMs and test sets.,,,,Apache 2.0,"Creating large amounts of instruction data, particularly with high complexity",,,https://huggingface.co/datasets/WizardLM/evol_instruct_70k/discussions,,70 hours on 3 epochs,8 V100 GPUs,,,,,,,2,98,151,4,62,186,143,2,3
WizardCoder,"WizardCoder empowers Code LLMs with complex instruction fine-tuning, by adapting the Evol-Instruct method to the domain of code.",,,"Evaluated on four prominent code generation benchmarks HumanEval, HumanEval+, MBPP, and DS100.",,,,BigCode Open Rail-M,,,,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0/discussions,,,,,,,,,,2,98,196,4,62,117,68,2,3
Florence-2,"WizardCoder empowers Code LLMs with complex instruction fine-tuning, by adapting the Evol-Instruct method to the domain of code.",,,Evaluated on standard image processing benchmarks,,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,98,233,4,28,183,70,0,4
FLD-5B,FLD-5B is the dataset that powers Florence-2,,[],FLD-5B evaluated in comparison to datasets that power other large-scale image models on standard image benchmarks.,,,,unknown,,,,,,,,,,,,,,1,98,233,4,19,4,302,0,4
OpenOrca,"The OpenOrca dataset is a collection of augmented FLAN Collection data. Currently ~1M GPT-4 completions, and ~3.2M GPT-3.5 completions. It is tabularized in alignment with the distributions presented in the ORCA paper and currently represents a partial completion of the full intended dataset, with ongoing generation to expand its scope.",https://huggingface.co/datasets/Open-Orca/OpenOrca,[],Models trained on OpenOrca compared to GPT-series on language benchmarks.,,,,MIT,training and evaluation in the field of natural language processing.,,,,,,,,,,,,,1,98,169,2,37,129,89,2,4
LlongOrca,LlongOrca is an attempt to make OpenOrca able to function in a Llong context.,,,LlongOrca evaluated on BigBench-Hard and AGIEval results.,,,,LLaMA 2,training and evaluation in the field of natural language processing.,,,https://huggingface.co/Open-Orca/LlongOrca-7B-16k/discussions,unknown,37 hours,8x A6000-48GB (first-gen) GPUs,,,,,,,2,98,185,2,62,186,198,2,3
Phi-1.5,Phi-1.5 is a large language transformer model.,,,"Evaluated on common sense reasoning, language understanding, and multi-step reasoning compared to other SOTA language models.",,,generic web-crawl data is removed from dataset.,MIT,"Phi-1.5 is best suited for answering prompts using the QA format, the chat format, and the code format.",,,https://huggingface.co/microsoft/phi-1_5/discussions,unknown,8 days,32 A100-40G GPUs,,,,,,,2,98,202,4,62,5,297,2,3
Orca 2,Orca 2 is a finetuned version of LLAMA-2 for research purposes.,,,Orca 2 has been evaluated on a large number of tasks ranging from reasoning to grounding and safety.,,,,custom,Orca 2 is built for research purposes only. The main purpose is to allow the research community to assess its abilities and to provide a foundation for building better frontier models.,Any purposes other than research.,unknown,https://huggingface.co/microsoft/Orca-2-13b/discussions,unknown,80 hours,32 NVIDIA A100 80GB GPUs,,,,,,,2,98,238,4,62,39,140,2,3
Phi-3 Mini,"Phi-3 Mini is a 3.8 billion-parameter, lightweight, state-of-the-art open model trained using the Phi-3 datasets.",,,"The model has been evaluated against benchmarks that test common sense, language understanding, mathematics, coding, long-term context, and logical reasoning. The Phi-3 Mini-128K-Instruct demonstrated robust and state-of-the-art performance among models with fewer than 13 billion parameters.",,,The model underwent post-training processes viz. supervised fine-tuning and direct preference optimization to increase its capability in following instructions and aligning to safety measures.,MIT,The model's primary use cases are for commercial and research purposes that require capable reasoning in memory or compute constrained environments and latency-bound scenarios. It can also serve as a building block for generative AI-powered features.,"The model should not be used for high-risk scenarios without adequate evaluation and mitigation techniques for accuracy, safety, and fairness.","Issues like allocation, high-risk scenarios, misinformation, generation of harmful content and misuse should be monitored and addressed.",https://huggingface.co/microsoft/Phi-3-mini-128k-instruct/discussions,unknown,7 days,512 H100-80G GPUs,,,,,,,2,98,299,0,62,101,302,2,3
TigerBot,TigerBot is an open source multilingual multitask LLM.,,,Evaluated across a range of domain tasks across standard benchmarks in comparison to predecessor Llama 2.,,,Safety filtering performed to mitigate risk and remove toxic content.,Apache 2.0,,,unknown,https://huggingface.co/TigerResearch/tigerbot-180b-base-v2/discussions,unknown,unknown,32 A100-40G GPUs,,,,,,,2,165,218,4,62,58,155,2,3
coheretext,"The family of datasets used to train Cohere models, which come in two forms: coheretext-filtered and coheretext-unfiltered. The former is used to train the Representation models, while the latter one is used to train the Generation models.
",https://docs.cohere.ai/data-statement,[],unknown,"As stated in the datasheet, the dataset ""includes the Google Books dataset, CommonCrawl, and text from the internet scraped by the Cohere infrastructure team."" The top ten domains scraped were: wordpress.com, medium.com, stackexchange.com, tumblr.com, elsevier.com, genius.com, bbc.co.uk, libsyn.com, yahoo.com, nytimes.com [[Datasheet]](https://docs.cohere.ai/data-statement).
","Documents that are not in English are excluded.
","In the datasheet, it is implied that Cohere employs filtration methods for removing racist, biased and toxic content, but the details are not provided. These filtration methods take both the context and the language, as opposed to using a list of blockwords [[Datasheet]](https://docs.cohere.ai/data-statement).
",unknown,"The intended use of the dataset is to train Cohere's language models.
",unknown,unknown,unknown,,,,,,,,,,1,41,35,3,62,72,302,0,4
Cohere Base,"The Generations model is a language model trained by Cohere for generation tasks.
",,,"The model's performance was analyzed on Hellaswag and COPA, as well as several safety benchmarks [[Model Card]](https://docs.cohere.ai/generation-card).",,,unknown,unknown,"On the model card, the intended uses are stated as ""interactive autocomplete, augmenting human writing processes, summarization, text rephrasing, and other text-to-text tasks in non-sensitive domains"" [[Model Card]](https://docs.cohere.ai/generation-card).
","The usage of the model is bound by the Cohere usage guidelines [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines). A non-comprehensive list of specific application violating these guidelines are: astroturfing, generation of misinformation and other harmful content, and ""generation of text about people, places, or events without a human-in-the-loop"" [[Model Card]](https://docs.cohere.ai/generation-card).
","The usage of the model is monitored by Cohere [[Model Card]](https://docs.cohere.ai/generation-card).
",unknown,unknown,unknown,unknown,,,,,,,2,41,35,3,62,198,290,1,4
Cohere Command,"This model is a generative model optimized to follow commands in the prompt.
",,,"The model's performance was analyzed on Hellaswag and COPA, as well as several safety benchmarks [[Model Card]](https://docs.cohere.ai/generation-card).",,,unknown,unknown,"On the model card, the intended uses are stated as ""interactive autocomplete, augmenting human writing processes, summarization, text rephrasing, and other text-to-text tasks in non-sensitive domains"" [[Model Card]](https://docs.cohere.ai/generation-card).
","The usage of the model is bound by the Cohere usage guidelines [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines). A non-comprehensive list of specific application violating these guidelines are: astroturfing, generation of misinformation and other harmful content, and ""generation of text about people, places, or events without a human-in-the-loop"" [[Model Card]](https://docs.cohere.ai/generation-card).
","The usage of the model is monitored by Cohere [[Model Card]](https://docs.cohere.ai/generation-card).
",unknown,unknown,unknown,unknown,,,,,,,2,41,110,3,62,198,45,1,4
Cohere Embed (English),"The Embedding Large (English) model is a language model trained by Cohere for tasks requiring embeddings.
",,,"The model's performance was analyzed on several safety benchmarks [[Model Card]](https://docs.cohere.ai/representation-card).
",,,unknown,unknown,"The intended uses are stated as ""estimating semantic similarity between two sentences, choosing a sentence which is most likely to follow another sentence, sentiment analysis, topic extraction, or categorizing user feedback"" on the Cohere model card [[Model Card]](https://docs.cohere.ai/representation-card).
","The usage of the model is bound by the Cohere usage guidelines [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines). A non-comprehensive list of specific application violating these guidelines are: extraction of identity and demographic information, building purposefully opaque text classification systems, and ""building downstream classifiers that serve as automated decision-making systems that have real-world consequences on people, where those decisions are made without a human-in-the-loop"" [[Model Card]](https://docs.cohere.ai/representation-card).
","The usage of the model is monitored by Cohere [[Model Card]](https://docs.cohere.ai/representation-card).
",unknown,unknown,unknown,unknown,,,,,,,2,41,35,3,62,198,302,1,4
Cohere Embed (Multilingual),"This model maps text from 100+ languages to a semantic vector space, positioning text with a similar meaning (regardless of language) in close proximity.
",,,"The model's performance was analyzed on several safety benchmarks [[Model Card]](https://docs.cohere.ai/representation-card).
",,,unknown,unknown,"The intended uses are stated as ""estimating semantic similarity between two sentences, choosing a sentence which is most likely to follow another sentence, sentiment analysis, topic extraction, or categorizing user feedback"" on the Cohere model card [[Model Card]](https://docs.cohere.ai/representation-card).
","The usage of the model is bound by the Cohere usage guidelines [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines). A non-comprehensive list of specific application violating these guidelines are: extraction of identity and demographic information, building purposefully opaque text classification systems, and ""building downstream classifiers that serve as automated decision-making systems that have real-world consequences on people, where those decisions are made without a human-in-the-loop"" [[Model Card]](https://docs.cohere.ai/representation-card).
","The usage of the model is monitored by Cohere [[Model Card]](https://docs.cohere.ai/representation-card).
",unknown,unknown,unknown,unknown,,,,,,,2,41,106,3,62,198,302,1,4
Cohere API,"Cohere API allows users to access the cohere language models and utilize them in their applications.
",,,,,,"The new users of the API get a limited access restricting the sizes of the models as well as the number of tokens that can be used. Users are required to go through an internal application to upgrade to full access [[Limited Access]](https://docs.cohere.ai/limited-access).
",custom,"Intended to be used by developers who would like to incorporate NLP into their applications [[Cohere Website]](https://cohere.ai/).
","The usage of the API is bound by the Cohere usage guidelines. Disallowed use cases include violence and threats, antisocial and antidemocratic uses, deceit, attacks on security or privacy, unsafe unsupervised uses, decision-making, high-Risk generations among others [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
","All applications developed using the Cohere API is subject to review by Cohere.
","General feedback as well as the violations of the usage guidelines can be reported to Cohere at responsibility at cohere.ai [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
",,,,unknown,generation and embeddings,https://cohere.ai/terms-of-use,unknown,unknown,unknown,0,41,35,3,-1,-1,47,1,4
Cohere Generate Endpoint,"This endpoint generates realistic text conditioned on a given input.
",,,,,,"The new users of the API get a limited access restricting the sizes of the models as well as the number of tokens that can be used. Users are required to go through an internal application to upgrade to full access [[Limited Access]](https://docs.cohere.ai/limited-access).
","Limited use license to Cohere platform users [[Terms of Use]](https://cohere.ai/terms-of-use).
","Intended to be used by developers who would like to incorporate NLP into their applications [[Cohere Website]](https://cohere.ai/).
","The usage of the API is bound by the Cohere usage guidelines. Disallowed use cases include violence and threats, antisocial and antidemocratic uses, deceit, attacks on security or privacy, unsafe unsupervised uses, decision-making, high-Risk generations among others [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
","All applications developed using the Cohere API is subject to review by Cohere.
","General feedback as well as the violations of the usage guidelines can be reported to Cohere at responsibility at cohere.ai [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
",,,,unknown,generation,https://cohere.ai/terms-of-use,unknown,unknown,unknown,0,41,35,3,-1,-1,44,1,4
Cohere Embed Endpoint,"This endpoint returns text embeddings. An embedding is a list of floating point numbers that captures semantic information about the text that it represents.
",,,,,,"The new users of the API get a limited access restricting the sizes of the models as well as the number of tokens that can be used. Users are required to go through an internal application to upgrade to full access [[Limited Access]](https://docs.cohere.ai/limited-access).
","Limited use license to Cohere platform users [[Terms of Use]](https://cohere.ai/terms-of-use).
","Intended to be used by developers who would like to incorporate NLP into their applications [[Cohere Website]](https://cohere.ai/).
","The usage of the API is bound by the Cohere usage guidelines. Disallowed use cases include violence and threats, antisocial and antidemocratic uses, deceit, attacks on security or privacy, unsafe unsupervised uses, decision-making, high-Risk generations among others [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
","All applications developed using the Cohere API is subject to review by Cohere.
","General feedback as well as the violations of the usage guidelines can be reported to Cohere at responsibility at cohere.ai [[Usage Guidelines]](https://docs.cohere.ai/usage-guidelines).
",,,,unknown,embedding,https://cohere.ai/terms-of-use,unknown,unknown,unknown,0,41,35,3,-1,-1,46,1,4
